filename,width,height,class,xmin,ymin,xmax,ymax
pad_9.JPG,800,800,5eca67a90202601e8cb8d104,214,215,756,373
pad_14.JPG,800,800,5eca67a90202601e8cb8d104,252,265,620,385
pad_1.JPG,800,800,5eca67a90202601e8cb8d104,90,205,728,397
r45_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,306,200,651,545
r90_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,415,252,535,620
r135_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,255,306,600,651
r180_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,180,415,548,535
r225_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,149,255,494,600
r270_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,265,180,385,548
r315_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,200,149,545,494
r45_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,288,138,783,633
r90_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,427,214,585,756
r135_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,167,288,662,783
r180_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,44,427,586,585
r225_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,17,167,512,662
r270_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,215,44,373,586
r315_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,138,17,633,512
r45_pad_1.JPG,800,800,5eca67a90202601e8cb8d104,183,43,770,630
r90_pad_1.JPG,800,800,5eca67a90202601e8cb8d104,403,90,595,728
r135_pad_1.JPG,800,800,5eca67a90202601e8cb8d104,170,183,757,770
r180_pad_1.JPG,800,800,5eca67a90202601e8cb8d104,72,403,710,595
r225_pad_1.JPG,800,800,5eca67a90202601e8cb8d104,30,170,617,757
r270_pad_1.JPG,800,800,5eca67a90202601e8cb8d104,205,72,397,710
r315_pad_1.JPG,800,800,5eca67a90202601e8cb8d104,43,30,630,617
crop_r225_pad_1.JPG,400,400,5eca67a90202601e8cb8d104,0,0,400,400
crop_r135_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,0,0,342,400
crop_r315_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,0,0,342,342
crop_r270_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,0,0,65,310
crop_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,166,0,400,14
crop_r135_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,18,148,363,400
crop_r180_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,0,240,371,398
crop_r270_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,217,0,337,191
crop_r225_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,0,0,237,229
crop_r315_pad_1.JPG,400,400,5eca67a90202601e8cb8d104,0,0,354,400
crop_r45_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,0,0,258,233
crop_r45_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,206,0,400,390
crop_r90_pad_1.JPG,400,400,5eca67a90202601e8cb8d104,312,79,400,400
crop_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,94,43,400,201
crop_r45_pad_1.JPG,400,400,5eca67a90202601e8cb8d104,66,0,400,261
crop_r315_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,0,0,339,214
crop_pad_1.JPG,400,400,5eca67a90202601e8cb8d104,84,0,400,147
crop_r90_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,261,195,400,400
crop_r225_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,0,0,258,400
crop_r270_pad_1.JPG,400,400,5eca67a90202601e8cb8d104,91,0,283,400
crop_r135_pad_1.JPG,400,400,5eca67a90202601e8cb8d104,0,0,400,400
crop_r180_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,0,278,244,398
crop_r180_pad_1.JPG,400,400,5eca67a90202601e8cb8d104,0,254,400,400
crop_r90_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,175,0,295,256
scale_r225_pad_1.JPG,800,800,5eca67a90202601e8cb8d104,15,85,308,378
scale_r135_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,84,144,331,392
scale_r315_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,100,74,272,247
scale_r270_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,108,22,186,293
scale_crop_r45_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,0,0,129,116
scale_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,126,132,310,192
scale_crop_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,47,22,200,100
scale_crop_r315_pad_1.JPG,400,400,5eca67a90202601e8cb8d104,0,0,177,200
scale_crop_r225_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,0,0,118,114
scale_crop_r270_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,108,0,168,96
scale_r135_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,128,153,300,326
scale_r180_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,22,214,293,292
scale_crop_r180_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,0,120,186,199
scale_r270_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,132,90,192,274
scale_r225_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,74,128,247,300
scale_crop_r135_pad_14.JPG,400,400,5eca67a90202601e8cb8d104,9,74,182,200
scale_r315_pad_1.JPG,800,800,5eca67a90202601e8cb8d104,22,15,315,308
scale_r45_pad_14.JPG,800,800,5eca67a90202601e8cb8d104,153,100,326,272
scale_crop_r90_pad_1.JPG,400,400,5eca67a90202601e8cb8d104,156,40,200,200
scale_r45_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,144,69,392,316
scale_crop_r45_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,103,0,200,195
scale_r90_pad_1.JPG,800,800,5eca67a90202601e8cb8d104,202,45,298,364
scale_crop_r270_pad_9.JPG,400,400,5eca67a90202601e8cb8d104,0,0,32,155
scale_pad_9.JPG,800,800,5eca67a90202601e8cb8d104,107,108,378,186
